Caixa;Localização/Tipo;Projeto/Categoria;Descrição;Data/Período;Obs;
25;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI - Correspondências Recebidas e Expedidas;1997 a 1999;;
;;;;;;
26;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI - Estatutos (93) / Strategic Plan (90) / Editorial Fiabci Press / Revistas / Folhetos;-;;
;;;;;;
27;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI - Regras do Jogo / Estatuto Brasil / Vídeo Verso;-;;
27;Prado Chaves – Diretoria 8º andar;Prêmio Master;Prêmio Master / Liceu Encadernações;-;;
;;;;;;
28;Prado Chaves – Diretoria 8º andar;Sobloco;Sobloco - Ordens de Pagamento;1994 a 1998;;
28;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Pastas Reuniões (Riviera, Paulínia, Sociedade Amigos Parque Faber);-;;
28;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Sobloco Ordens de Pagamento / Pastas Reuni es (Riviera, Paulínia);94-98;;
;;;;;;
29;Prado Chaves – Diretoria 8º andar;Não identificado;Dr. LCPA (Contratos, Orçamentos, Propostas, Bancos, Recibos, Requerimentos, Estudos, Cálculos, Documentos Legais, Caio Marcondes, Romuo Esposito);-;;
;;;;;;
30;Prado Chaves – Diretoria 8º andar;Lux Publicações;Lux Publicações;1997 a 1999;;
;;;;;;
31;Prado Chaves – Diretoria 8º andar;Não identificado;Molduras Diversas;-;;
 ;;;;;;
32;Prado Chaves – Diretoria 8º andar;Não identificado;Molduras Diversas;-; ;
;;;;;;
33;Prado Chaves – Diretoria 8º andar;FIABCI;Molduras FIABCI;-; ;
;;;;;;
34;Prado Chaves – Diretoria 8º andar;Múltiplos projetos; PASTAS DAS GAVETAS - Av. Ibirapuera (Renato Ferrari) / Escritório Levy/Oscar Pedroso Horta/ Panorama/ Joaquim Mendonça/ Sr. Peter / Maison Suisse (Documentos Legais) / Caso Pignatari/Carlos Jereissati;-; ;
;;;;;;
35;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;LCPA Molduras / FIABCI Projetos Prix Diversos;-; ;
;;;;;;
