Caixa;Localização/Tipo;Projeto/Categoria;Descrição;Data/Período;Obs;
105;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Pastas Suspensas: Processo Banco Itaú / Canadá / Camara Americana Comércio Amcham Brasil / Cotonifício Giorgi / Concorrência Pública CDHU / Conversão de Dívida / Companhia Hipotecária / Creci / Copersucar (João Ometto) / Debêntures / Dossie Job Bassit / Fazenda Tupy (Mônica e Dr. Dimas) / Fazenda Santana / Favelas - Lei Desfavelamento / Fundos / Inflação / IL - International Living / Instituto Liberal / Javier Uribe / Lace / Loja Av São Gabriel / Metropolitan Plaza - Avaliação / MASP / NAR / Oswaldo Stecca / Ofertas no Uruguay - Áreas Rurais  / Pluricorp /  Plano 100 / Pesquisa Bandeirante - São Carlos - Senador Vergueiro ;-;;
106;Prado Chaves – Diretoria 8º andar;Múltiplos projetos; Senador Vergueiro / Tratativas Sr. Eulalio Vidigal Pontes / Terreno Praça da Sé / Unicor - UTI no ar / Pesquisa Marketing / Riviera de São Lourenço: Abramar / Aquisição Succar / Shopping Riviera / SIV Argentina / Terminal Ônibus / Unibanco Ecologia / Sul Brasil Engenharia / São Lourenço Extra / São Lourenço Marketing / Soc. Conta Participação ;-; ;
107;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Riviera de São Lourenço: Tratamento Esgoto (Atas 2003 a 2006) /Relatórios Fernando sobre Vendas M24 (2009) / Trabalho Dr. Mario Filho - Posição módulos 12, 17, 11, 16, 27 e 15 (2007 a 2008) / Encontro na RSL Emendas (2003) / Reunião Paulo Velzi (2002) / Relatórios Prof. Amer, Rita e Georgeta / Materiais para reuniões antigos diversos - 1993/1994 (marketing /Dr. Ribeiro e Dr. Roberto/Riviera) / PLC 107 / PL 2123 / Audiência com  Presidente do IBAMA, Dr. Raul Jungmann 11/04/1995 - Dr. Luiz Carlos/ Trabalhos Dr. Luiz Carlos, pastas coloridas: cinza - informações e comentários Março 1994, azul - informações e comentários sobre os fatos ocorridos entre março 1994 e fevereiro de 1995,  verde - informações e comentários sobre os fatos ocorridos entre fevereiro e junho de 1995, amarelo - aprovações junto à secretaria da agricultura e secretaria do meio ambiente, ação do MP e anexos;-; ;
108;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Espaço Cerâmica - Minutas / Consult / Credicard / Santech / CPFL / Propostas Diversas;-; ;
109;Prado Chaves – Diretoria 8º andar;FIABCI ;FIABCI / Pasta Prospecção Prix D'Excellence 2002/ Coletânea Fiabci Press Brasil até 2005 e Fiabci Press 2009 / Fiabci - Correspondências Expedidas e Recebidas 2011 e Diversos 1997 a 2008;1997 a 2011; ;
110;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Análise Financeira 2011 / Agendas Leico 2009 a 2011 / Dr. Luiz Carlos - Club Paulistano 2011 e Clube de Campo;2009 a 2011;;
111;Prado Chaves – Diretoria 8º andar;Guarujá Central Park;Guarujá Central Park - Minutas / Correspondências Recebidas (1990 a 2002) / Caso Maria Lucia Vidigal / Pasta Reunião Guarujá / Diversos ;-; ;
112;Prado Chaves – Diretoria 8º andar;FIABCI;10 Mini Troféus Prix - Roberto Vivas;-; ;
113;Prado Chaves – Diretoria 8º andar;FIABCI;Diversos - Material utilizado (diversos) Dr. Luiz Carlos durante a Presidência da Fiabci em 1993 / Material recebido Machado, Meyer, Senacz e Opice (folhetos diversos) / Interval International (folhetos diversos) / Informativo Mensal - Habitat Debate - março de 1998 e cartas de janeiro a Março de 1999 / Keneth Miller - A new century Habitat - South Padre Island, Texas, May 1990 /  Congresso Fiabci das Américas Agosto de 2003 - São Paulo -  Brasil / Reunião de Inverno 1993 / Fiabci Uruguai - 8 Encuentro FIABCI Del Cono Sur - 1998 / Congressos Fiabci - material de 1967, 1968, 1969, 1991 e diversos /  Hilton Hotels Corporations 1993 - Anual Report - reunião 1993 / Barcelona - reunião 2000 / Estudo - Water and Sanitation for Health Project - Fevereiro 1991 / Cartas Diversas encontradas entre 1992 e 2004 / 10 projetos Prix D'Excellence - 1992: La Florida (California USA), Internation Convention Centre (UK), Embankment Place (UK), Broadgate (UK), Compartir Soacha (Bogotá/Colombia), The Square (Ireland), Mexican Stock (Mexico), Bischan (Singapore);-; ;
114;Prado Chaves – Diretoria 8º andar;Não identificado;Molduras Dr. Luiz Carlos - The Who's Who in the World (1980,1981,1982,1983,1997), Fundação Abrinq (2000), Fiabci (The Board of Directors of FIABCI - Janeiro 2001, Diploma -Quartel em Guarujá - Agosto 2001 - Colaborador e Amigo;-; ;
115;Prado Chaves – Diretoria 8º andar;Não identificado;Cópia livro: Tratado de Fitogeografia do Brasil – Aspectos Sociolópticos e floristicos – 2º volume 2 – Carlos Toledo Rizzini – Editora da USP – 1979 / Cópia livro: Conheça a Vegetação Brasileira – Aylthon Bradão Joly – Editora da USP -1970 / Cópia livro: Estratégias de transição para ao século XXI (Ignacy Sachs) / Mourumbi/SP - Estudo recebido – Arlindo de Carvalho Pinto neto -30/09/1985 – Posição contratual de aquisição de lotes no Morumbi / Manual de orientação para Produções Habitacionais – Cecap (03 volumes) / Manual de Procedimentos – Mala direta nas empresas / Guarapiranga - Programa de Saneamento Ambiental da Bacia do Guarapiranga (02 volumes) / Santos -Logística Terrestre da baixada santista – 19/03/1998 / Sistema de Terminais de Carga na baixada Santista – DERSA – Setembro 1997 (02 vias) / Ribeirão Preto – Edital 005/94 – DAAE /  São Paulo – Terreno Rod. Castelo Branco – Fazenda Itahyê – 1993 / Riviera – Prêmio Ambiental Von Martius 2001 - Transformação de Iodo resultante de tratamento físico químico de esgoto em fertilizante natural na Riviera de São Lourenço / FEAC (fotos e plantas) / Maranhão – São Luiz (Helio de Paula Leite) – projeto urbanístico – dezembro 1991 / Empresa BIRE / Somobra – Ação renovatória Companhia Brasileira de distribuição – 1986 / Piracicaba / Capivari - Rodovia do Açúcar - 1982;-;;
116;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Dr. Luiz Carlos / Club Paulistano - Correspondências Recebidas 2012 / Listagem Mala Direta (Marketing Sobloco) / Análise Financeira 2012 / Roteiros Viagens - 2009 a 2011;-; ;
117;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Sobloco Correspondências Recebidas e Expedidas 2011 a 2012 / Correspondências Recebidas Lerman Ward Advogados - Apresentação / Secovi Correspondências Recebidas 2010/2012 e Estudos Diversos 2005 a 2008;-; ;
118;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;São Carlos - Parqtec - Correspondências Recebidas 1992 a 2012 / Lápis Johann Faber - Anuência Climax / Lápis Johann Faber Correspondências Recebidas Março 2000 a 2007;-; ;
119;Prado Chaves – Diretoria 8º andar;Não identificado;Riviera - AARSL - Correspondências  Recebidas 2004 a 2001 / Escrituras / Procurações / Propostas/ Orçamentos / Encadernações Diversas;-; ;
120;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Pastas das gavetas: AELO / Ata de Reuniões Antigas São Paulo Golf Club / Caixa Economica Federal – Normas e Regulamentos / Fazenda Santa Cândida – Cevada / Fazenda Santa Candida – tabelas pontaletes / Financ. C. Braga / Fixed Rate Notes – Sobloco – Coutts / Fórum Legislativo de Des. Econ. São Paulo / IAPA / PIS x CAIXA / Plano Diretor / Reforma São Paulo Golf Club / Shopping Carlos – Prospectos / United Airlines;-; ;
121;Prado Chaves – Diretoria 8º andar;Não identificado;Ordem de Pagamento 2008 a 2013 / Análise Financeira Outubro, Novembro e Dezembro 2012 e Janeiro a Dezembro 2013 / World Economic International Monetary Fund - Brochuras Diversas (Azul);-; ;
122;Prado Chaves – Diretoria 8º andar;Não identificado;Riviera: Correspondências Recebidas 1979 a Abr/1993;1979 a Abr/1993; ;
123;Prado Chaves – Diretoria 8º andar;Não identificado;Riviera:Correspondências Recebidas Mai/1993 a 2002;Mai/1993 a 2002; ;
124;Prado Chaves – Diretoria 8º andar;Não identificado;Riviera:Correspondências Recebidas 2003 a 2008;2003 a 2008; ;
125;Prado Chaves – Diretoria 8º andar;Não identificado;Riviera:Correspondências Expedidas 1979 a 1996 / Troca de Correspondências Praias e Sobloco 1979 a 1988;1979 a 1996; ;
126;Prado Chaves – Diretoria 8º andar;Não identificado;Riviera:Correspondências Expedidas1997 a 2010;1997 a 2010;;
127;Prado Chaves – Diretoria 8º andar;Não identificado;Riviera:Correspondências Recebidas 2009 a Dez/2012;2009 a Dez/2012; ;
128;Prado Chaves – Diretoria 8º andar;Não identificado;ADM Dir 8 - Cronológico 1981 a 1989;1981 a 1989; ;
129;Prado Chaves – Diretoria 8º andar;Não identificado;ADM Dir 8 - Cronológico 1990 a 2006;1990 a 2006; ;
130;Prado Chaves – Diretoria 8º andar;Não identificado; Espaço Cerâmica - Correspondências Recebidas 1988 a 2006;1988 a 2006; ;
131;Prado Chaves – Diretoria 8º andar;Não identificado;Espaço Cerâmica - Correspondências Recebidas 2007 a 2012;2007 a 2012; ;
132;Prado Chaves – Diretoria 8º andar;Não identificado;Espaço Cerâmica - Correspondências Expedidas 1998 a 2004 / Correspondências Expedidas ADM. 050/03, ADM. 002/04, 019/04 e 002/06 ;1998 a 2006;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
133;Prado Chaves – Diretoria 8º andar;Espaço Cerâmica;Correspond ncias Expedidas;2005 a 2010;;
134;Prado Chaves – Diretoria 8º andar;Espaço Cerâmica;Eletropaulo / Cobrape / Arcadis / Recortes Jornal;1999 a 2009;;
135;Prado Chaves – Diretoria 8º andar;Espaço Cerâmica;Minutas / Processo Enio Xavier x Sobloco;-;;
136;Prado Chaves – Diretoria 8º andar;Riviera;DEPRN - Corresp Rec/Exp / Pareceres (Tuzzolo, Milaré, etc);1991 a 1995;;
137;Prado Chaves – Diretoria 8º andar;Riviera;DEPRN - Decretos / Código Florestal / Autos Infração;-;;
137;Prado Chaves – Diretoria 8º andar;Riviera;Marina - Ações Populares / Laudos / Cetesb Antigas;-;;
138;Prado Chaves – Diretoria 8º andar;Literatura;Lorenzo Carrasco / Livros América do Sul;-;;
139;Prado Chaves – Diretoria 8º andar;Literatura;Lorenzo Carrasco / Máfia Verde / Capax Dei;-;;
140;Prado Chaves – Diretoria 8º andar;Literatura;Livros Diversos (Loteamentos, Bertioga, Culinária);-;;
141;Prado Chaves – Diretoria 8º andar;Ambiental/Arcadis;Trabalhos Arcadis;Dez/2003 a Jun/2009;;
141;Prado Chaves – Diretoria 8º andar;Ambiental/Arcadis;Plano de Ação - Monitoramento da Água;jul/07;;
142;Prado Chaves – Diretoria 8º andar;Ambiental/Arcadis;Trabalho Arcadis;Jul/2009 a Mai/2012;;
142;Prado Chaves – Diretoria 8º andar;Ambiental/Amppla;RAP -Relat rio Ambiental Preliminar;2005;;
142;Prado Chaves – Diretoria 8º andar;Consultoria/Colliers;Trabalho Colliers - Resumo Avaliação;Abr e Jun/2007;;
143;Prado Chaves – Diretoria 8º andar;Ambiental;EPAM - José Roberto Rodrigues -Relat rio Investigação Áreas Contaminadas;2003;;
143;Prado Chaves – Diretoria 8º andar;Planejamento;Planning -Relat rio Avaliação Estudo Urbano;set/09;;
143;Prado Chaves – Diretoria 8º andar;Planejamento;EIAV - Estudo de Impacto Amb. e de Vizinhança (Vol I e II);02/02/2010;;
143;Prado Chaves – Diretoria 8º andar;Jurídico;Trabalhos Dr. Fabiano (Pasta Azul);-;;
143;Prado Chaves – Diretoria 8º andar;Ambiental;Freire Consultoria - EIAV Reserve e Premier Ceramique;set/08;;
143;Prado Chaves – Diretoria 8º andar;Engenharia;Hidrostudio - Análise Impactos Drenagem Superficial;jan/10;;
143;Prado Chaves – Diretoria 8º andar;Jurídico;Parecer Coesa (Processo 4613/01);-;;
143;Prado Chaves – Diretoria 8º andar;Espaço Cerâmica;Pref. SCS -Relat rio Atualização Impacto Ambiental/Vizinhança;-;;
143;Prado Chaves – Diretoria 8º andar;Obras/Metrô;Resumo Fornecimento de Terra do Metrô;05/05/2009;;
144;Prado Chaves – Diretoria 8º andar;Comercial;Shopping São Caetano do Sul Leasing Mall;-;Pasta Azul;
144;Prado Chaves – Diretoria 8º andar;Comercial;Tratativas BR Malls / I.S.S. / Caso Multiplan / Gafisa;-;;
144;Prado Chaves – Diretoria 8º andar;Jurídico;Proposta Advogados (Dilermando, Luiz Eduardo, etc);-;;
149;Prado Chaves – Diretoria 8º andar;Marketing/Histórico;Folhetos Antigos;-;;
149;Prado Chaves – Diretoria 8º andar;Mídia;Riviera VHS (Pá de Cal, Debate Marina) / DVD Clorofila;-;;
149;Prado Chaves – Diretoria 8º andar;Mídia;VHS/DVD Diversos (FIABCI, Sobloco, Desafios, Sempla);-;;
150;Prado Chaves – Diretoria 8º andar;Riviera;Aditamentos ao Contrato de Empreitada Global - Minutas;2014;;
150;Prado Chaves – Diretoria 8º andar;Riviera;Assuntos Dep. Celia Leão - Mata Atlântica / Buriquioca;-;;
150;Prado Chaves – Diretoria 8º andar;Riviera;Banco Genética / Caso Barma / Caso Lindenberg;-;;
150;Prado Chaves – Diretoria 8º andar;Riviera;Caso TV a Cabo / Lote HE - Verde Mar / Unimed;-;;
150;Prado Chaves – Diretoria 8º andar;Riviera;Caso Pilhas Usadas / Viveiro / Quadrilátero / PI 5;-;;
150;Prado Chaves – Diretoria 8º andar;Riviera;Caso Praça Jardim do Sol / Benno e Oswaldo (Hotel/Flat);-;;
150;Prado Chaves – Diretoria 8º andar;Riviera;Código de Uso e Ocupação do Solo Cubatão;1983;;
150;Prado Chaves – Diretoria 8º andar;Riviera;Doria Associados / Sr. Dov (Guarujá);-;;
151;Prado Chaves – Diretoria 8º andar;Riviera;Enfoque / Edif cios Módulo 2 / Encontro Discutindo a Riviera;2014;;
151;Prado Chaves – Diretoria 8º andar;Riviera;Entrevista Tribuna de Santos;11/01/1983;;
151;Prado Chaves – Diretoria 8º andar;Riviera;Edson Bichir / Influencia Cargas (Hoffmann);-;;
151;Prado Chaves – Diretoria 8º andar;Riviera;Jardim das Praias / JNS Consultoria (Marina e EIA);-;;
151;Prado Chaves – Diretoria 8º andar;Riviera;Parecer Daniel Vera Cruz / Parecer Zilmelman (Ambiental);-;;
151;Prado Chaves – Diretoria 8º andar;Riviera;Pérsio Araújo (Água/Esgoto) / Pesquisa Paulo Florencio;1984;;
151;Prado Chaves – Diretoria 8º andar;Riviera;Placas Riviera / Portomarinst / Processo Oliveira Neves;1984;;
151;Prado Chaves – Diretoria 8º andar;Riviera;Quadro acontecidos / Roberto Aflalo (Expansão Shopping);-;;
151;Prado Chaves – Diretoria 8º andar;Riviera;SOS Mata Atlântica / Walter Lazzarini;-;;
152;Prado Chaves – Diretoria 8º andar;Pessoal/Viagem;Air France / American Airlines;-;;
152;Prado Chaves – Diretoria 8º andar;Pessoal;Arq. Sergio de Oliveira (Sambaquis);-;;
152;Prado Chaves – Diretoria 8º andar;Pessoal/Jurídico;Acordo Acionistas Capital Center / Crowne Plaza;-;;
152;Prado Chaves – Diretoria 8º andar;Pessoal;Casa da Luiza / Caso Paula (Cozinheira);-;;
152;Prado Chaves – Diretoria 8º andar;Imobili rio;Caso Flats / Ibiuna (Miguel Gonçalves) / Pitta (Isabelle);-;;
152;Prado Chaves – Diretoria 8º andar;Corporativo;Caso Nestlé (Boas Práticas) / Docklands (FAAP);-;;
152;Prado Chaves – Diretoria 8º andar;Jurídico;Caso Extrema Empr. x IBAMA;-;;
152;Prado Chaves – Diretoria 8º andar;Legislação;Decretos Diversos Antigos (2 pastas);-;;
152;Prado Chaves – Diretoria 8º andar;Urbanismo;Desenvolvimento Urbano - Texto Dr. LCPA;-;;
153;Prado Chaves – Diretoria 8º andar;Legislação;Estatutos Diversos / Estatuto das Cidades;2001;;
153;Prado Chaves – Diretoria 8º andar;Projetos Diversos;Hagrotel / Katoen Progen / Socicam;-;;
153;Prado Chaves – Diretoria 8º andar;Fiscal;Impostos Diversos;-;;
153;Prado Chaves – Diretoria 8º andar;Paulínia;Terminal Rodoviário / Publica  es Pref. / Licitação;-;;
153;Prado Chaves – Diretoria 8º andar;Paulínia;Processo Fepasa x Rhodia / Rhodia Area Cascata;-;;
153;Prado Chaves – Diretoria 8º andar;Jurídico;Pendência Jurídico Pro Memoria / Terreno Pça Republica;-;;
153;Prado Chaves – Diretoria 8º andar;Institucional;Resíduo Secovi / Reunião Política Secovi / SBC;-;;
154;Prado Chaves – Diretoria 8º andar;Institucional;Sinduscon / U.L.I (Pasta Antiga);-;;
154;Prado Chaves – Diretoria 8º andar;Corporativo;Solarium / Solarium Acordo Acionistas;-;;
154;Prado Chaves – Diretoria 8º andar;Pessoal;Smiles Milhagem / TAM Fidelidade;-;;
154;Prado Chaves – Diretoria 8º andar;Comercial;Tabela Vendas Parque Faber;2000 a Fev/2006;;
154;Prado Chaves – Diretoria 8º andar;Imobili rio;Tapetes São Carlos - Área;-;;
155;Prado Chaves – Diretoria 8º andar;Institucional;Estatutos Diversos;-;;
155;Prado Chaves – Diretoria 8º andar;Marketing;Folhetos Antigos (Paulínia, São Carlos, Sobloco, Riviera);-;;
156;Prado Chaves – Diretoria 8º andar;Pessoal/Dr. LCPA;Correspond ncias Recebidas e Expedidas;2010 a 2013;;
156;Prado Chaves – Diretoria 8º andar;Pessoal/Dr. LCPA;Dados para Palestras (Caixas I e II);-;;
157;Prado Chaves – Diretoria 8º andar;Riviera;Correspond ncias Expedidas;2011 a 2013;;
157;Prado Chaves – Diretoria 8º andar;Riviera;Correspond ncias Recebidas;2013 a 2014;;
157;Prado Chaves – Diretoria 8º andar;Mídia;Recortes de Jornais Diversos;-;;
158;Prado Chaves – Diretoria 8º andar;Riviera;Pasta DEPRN - Autorização Desmatamento / Rodolfo Geiser;-;;
158;Prado Chaves – Diretoria 8º andar;Riviera;Atas Obras / Visitação SIV / Diário Manejo / Jornal Riviera;1990 a 2014;;
159;Prado Chaves – Diretoria 8º andar;Riviera;Documentos Legais / Prefeitura / Certidões / Diário Oficial;-;;
159;Prado Chaves – Diretoria 8º andar;Riviera;Requerimentos;-;;
160;Prado Chaves – Diretoria 8º andar;Riviera;Riviera (Volta) Comunheiras;-;Obs: Ritornou;
160;Prado Chaves – Diretoria 8º andar;Diversos;Araraquara (Antigo) / Paulicentro;-;;
160;Prado Chaves – Diretoria 8º andar;Social;Ação Comunitária;2007 a 2015;;
160;Prado Chaves – Diretoria 8º andar;Imobili rio;Caso Kalunga x Guarita / Edif cio Jardim Leonor;-;;
160;Prado Chaves – Diretoria 8º andar;Pessoal;Luiz Henrique (Casamento e Reforma Apt);-;;
160;Prado Chaves – Diretoria 8º andar;Rural;Fazenda Santa C ndida(Diversos);-;;
160;Prado Chaves – Diretoria 8º andar;Paulínia;Rhodia / Paulínia;-;Data Ref: 05/01/16;
161;Prado Chaves – Diretoria 8º andar;Social;Fundação 10 de Agosto - Corresp. Recebidas;2006 a 2013;;
161;Prado Chaves – Diretoria 8º andar;Social;ISO 2013 / Atas Antigas / Diversos;-;;
162;Prado Chaves – Diretoria 8º andar;Espaço Cerâmica;Estudos / Piscinão / Trabalho AS&Thec (Antenas);-;;
162;Prado Chaves – Diretoria 8º andar;Espaço Cerâmica;Reunião Magnesita / Diário de Obra SCS;2009-2010;;
162;Prado Chaves – Diretoria 8º andar;Espaço Cerâmica;Relatório Obras Linha Alta Tensão / Plano Urbanização;2004;;
163;Prado Chaves – Diretoria 8º andar;FIABCI;Correspond ncias Recebidas;2012 a 2013;;
163;Prado Chaves – Diretoria 8º andar;FIABCI;Diretórios / Manual de la FIABCI (Antigo);2008 a 2014;;
164;Prado Chaves – Diretoria 8º andar;Pessoal/Dr. LCPA;Associação Viva o Centro / Assuntos Particulares (Jaguar);-;;
164;Prado Chaves – Diretoria 8º andar;Pessoal/Dr. LCPA;Apartamento Calamares / Casa do Pinhal;-;;
164;Prado Chaves – Diretoria 8º andar;Pessoal/Dr. LCPA;Audio Visual / Cartões Diversos / Convites;-;;
164;Prado Chaves – Diretoria 8º andar;Corporativo;Brasilinvest / Caminhos de San Conrado;-;;
165;Prado Chaves – Diretoria 8º andar;Jurídico/Casos;Aluisio Fagundes / Paris Palla / Ekke / Ed. Pinhal;-;;
165;Prado Chaves – Diretoria 8º andar;Jurídico/Casos;Marcas Famosas / D. Irene / Ireninha / London Eye;-;;
165;Prado Chaves – Diretoria 8º andar;Jurídico/Casos;Jacob Benaim / Pestana / Divida Luiz Alberto Duprat;-;;
165;Prado Chaves – Diretoria 8º andar;Corporativo;Contrato Imesc / Embratel / Embrapa / Fundação Abrinq;-;;
165;Prado Chaves – Diretoria 8º andar;Diversos;Direito Propriedade / Maurilio Mariano / Tenis Club;-;;
165;Prado Chaves – Diretoria 8º andar;Obras/Or amentos;Orçamento Guarita / Tabela de Comissões;-;;
165;Prado Chaves – Diretoria 8º andar;Pessoal;Evento Bodas de Ouro / Fazenda Sta Candida (Poço);-;;
166;Prado Chaves – Diretoria 8º andar;Diversos;Liceu Documentos Antigos / Oswaldo (Primo);-;;
166;Prado Chaves – Diretoria 8º andar;Jurídico;Loteamentos Fechados (Casos Judiciais);-;;
166;Prado Chaves – Diretoria 8º andar;Pessoal;Omint - Reembolsos Antigos LCPA;-;;
166;Prado Chaves – Diretoria 8º andar;Paulínia;Polo de Amonia e Uréia;-;;
166;Prado Chaves – Diretoria 8º andar;Imobili rio;Residencial Morumbi / Ruas Diversas (Sergipe, etc);-;;
166;Prado Chaves – Diretoria 8º andar;Adm;Reclamação de Clientes / Resíduos Sólidos;-;;
167;Prado Chaves – Diretoria 8º andar;São Carlos;Concorrência Pública / Parecer Juiz / Requerimento Sapé;-;;
167;Prado Chaves – Diretoria 8º andar;São Carlos;Plano Implantação Nova São Carlos / Res. Parque;-;;
167;Prado Chaves – Diretoria 8º andar;São Carlos;Contratos (Faber, Climax, Cetesb) / Parecer GLI/DEU;-;;
167;Prado Chaves – Diretoria 8º andar;São Carlos;Telesp Ripasa / Bom Retiro / MJ Casas Cedrinho;-;;
167;Prado Chaves – Diretoria 8º andar;São Carlos;Hercula Magistral / Caso Ação Gaber;-;;
168;Prado Chaves – Diretoria 8º andar;Diversos;São José dos Campos (Paolielo) / Sister Cities;-;;
168;Prado Chaves – Diretoria 8º andar;Diversos;Tradition / Thalassoterapie / Transgênicos;-;;
168;Prado Chaves – Diretoria 8º andar;Institucional;ULI / Pasta Sérgio Mauad;-;2012;
168;Prado Chaves – Diretoria 8º andar;Marketing;Folhetos Diversos (Sobloco, Riviera);-;;
168;Prado Chaves – Diretoria 8º andar;Pessoal;Assunto Particular Dr. LCPA (Fotos) / Helena;-;;
169;Prado Chaves – Diretoria 8º andar;Riviera;Alvarás Antigos / Caseiros / Zeladores / Ambulantes;-;;
169;Prado Chaves – Diretoria 8º andar;Riviera;Decretos Antigos / Estimativa Emprego / Imposto RSL;-;;
169;Prado Chaves – Diretoria 8º andar;Riviera;Estudos (Lopes e Outros) / Jardim Bertioga;-;;
170;Prado Chaves – Diretoria 8º andar;Riviera;McDonald's / Shopping / Posto Médico / Posto SL;-;;
170;Prado Chaves – Diretoria 8º andar;Riviera;Normas Cetesb / Sabesp / Seconci;-;;
170;Prado Chaves – Diretoria 8º andar;Riviera;Pareceres (Tuzzolo, Manuel Alceu, Portobrás);-;;
170;Prado Chaves – Diretoria 8º andar;Riviera;Projeto Viveiro;2013/2014;;
170;Prado Chaves – Diretoria 8º andar;Riviera;Riviera Flat (Ação) / Lote HE / Troféu SOS Praias;-;;
170;Prado Chaves – Diretoria 8º andar;Riviera;Soprac / Sobloco (Bisaggio - Petrobrás);-;;
171;Prado Chaves – Diretoria 8º andar;Adm;ADM Cronológico;2007 a 2010;;
171;Prado Chaves – Diretoria 8º andar;Adm;Sobloco - Correspond ncias Recebidas;2013;;
171;Prado Chaves – Diretoria 8º andar;Pessoal;Club Athletico Paulistano - Cartas Recebidas;2013;;
172;Prado Chaves – Diretoria 8º andar;Espaço Cerâmica;Correspond ncias Recebidas;2013;;
172;Prado Chaves – Diretoria 8º andar;Espaço Cerâmica;CBRE - Honorários / Correspond ncias / Estudos;-;;
173;Prado Chaves – Diretoria 8º andar;Espaço Cerâmica;Espaço Cerâmica / ITESCS / IPTU;-;;
174;Prado Chaves – Diretoria 8º andar;Pessoal/Certificados;Molduras / Certificados OESP / FAAP / Rotary;-;;
174;Prado Chaves – Diretoria 8º andar;FIABCI;Certificados Member e Reconhecimento;2003 a 2014;;
174;Prado Chaves – Diretoria 8º andar;Institucional;SINDUSCON / SECOVI / Global Housing Foundation;-;;
175;Prado Chaves – Diretoria 8º andar;Literatura;Lorenzo Carrasco / Livros Diversos (La Rouche, Máfia Verde);-;;
175;Prado Chaves – Diretoria 8º andar;Literatura;Alerta e Resenha;2009 a 2013;;
176;Prado Chaves – Diretoria 8º andar;FIABCI;Prix D'Excellence - Folhetos;-;;
176;Prado Chaves – Diretoria 8º andar;Prêmios;Prêmio Master - Pastas de Avaliação LCPA;2009 a 2010;;
177;Prado Chaves – Diretoria 8º andar;Mídia/Viagem;Revistas / Gerente de Cidade / Plano Viagem LCPA;2012/2013;;
178;Prado Chaves – Diretoria 8º andar;Incorporação;Memoriais: Marques de Castela / Toledo / Chateau D'Avignon;-;;
178;Prado Chaves – Diretoria 8º andar;Incorporação;Ed. Pq Acácias / Jd Leonor / Isabelle / New Star / CIP;-;;
179;Prado Chaves – Diretoria 8º andar;Incorporação;Memoriais: Regina / Guaritá / Nelson Baeta Neves;-;Obs: Reforma;
179;Prado Chaves – Diretoria 8º andar;Incorporação;Conj. Brasil Regência / Marques de Villa Rica / São Gabriel;-;;
179;Prado Chaves – Diretoria 8º andar;Incorporação;Marques de Ouro Preto / Tres Rios / Vista Alegre;-;;
179;Prado Chaves – Diretoria 8º andar;Incorporação;Vila Real / Anhembi / Santa Cruz / São Carlos;-;;
180;Prado Chaves – Diretoria 8º andar;Incorporação;Jardim Ely / Prof Brasilio Machado / Marques de Resende;-;;
180;Prado Chaves – Diretoria 8º andar;Incorporação;Nobre Paulista / Marques da Gávea / Paulino Longo;-;;
180;Prado Chaves – Diretoria 8º andar;Incorporação;São João da Palma / São João Del Rey / Barão de Petropolis;-;;
180;Prado Chaves – Diretoria 8º andar;Incorporação;Silvia Garnero / Barão de Duprat / Sevilha / Sagres;-;;
181;Prado Chaves – Diretoria 8º andar;Riviera;Riviera de São Lourenço / Campo de Golf;-;;
181;Prado Chaves – Diretoria 8º andar;Riviera;Comentários Laudos (Tuzzolo) / Cetesb / Acordo 1996;-;;
181;Prado Chaves – Diretoria 8º andar;Riviera;Embraesp (Hotel) / Instituto Metodista / Supermercado;-;;
181;Prado Chaves – Diretoria 8º andar;Riviera;Aprovações Originais / Sabesp Água e Esgoto;-;;
181;Prado Chaves – Diretoria 8º andar;Riviera;Pré Plano Prefeitura / Projetos Aprovados;-;Obs: Ritornou;
182;Prado Chaves – Diretoria 8º andar;S. Caetano do Sul;Corresp. Risa / Cabeamento / Material Escavação;-;2003;
182;Prado Chaves – Diretoria 8º andar;S. Caetano do Sul;Relatório Atividades Espaço Cerâmica;2011 a 2013;;
182;Prado Chaves – Diretoria 8º andar;S. Caetano do Sul;Evento GCSM / Título Cidadão Sulsancaetanense;2015;;
182;Prado Chaves – Diretoria 8º andar;Riviera;Aprovações Originais / Incra / Condephaat;-;Obs: Vide lista nova;
182;Prado Chaves – Diretoria 8º andar;Riviera;Projeto Aprovado Engenharia Sanitária;-;Obs: Reforma;
183;Prado Chaves – Diretoria 8º andar;FIABCI;Correspond ncias Expedidas e Recebidas;2012 a 2015;;
183;Prado Chaves – Diretoria 8º andar;FIABCI;Diretório 2015 / Coletânea Rio e Brasil;-;;
183;Prado Chaves – Diretoria 8º andar;Riviera;Cetesb / Aeronáutica / Incra (Pasta Grande);-;Obs: Vide nova;
